Goliath				巨人
滑坡和恶劣天气仍在阻碍救援物资运送到该地区。
Landslides and bad weather are continuing to hinder the arrival of relief supplies to the area.






retail | BrE ˈriːteɪl, AmE ˈriteɪl | 名词:零售/及物动词:零售；反复讲述/不及物动词:零售/副词:以零售方式
通过零售:by retail
向每个人散布小道消息: to retail gossip to all and sundry
这种鞋子零售价是60英镑:these shoes retail for £60




affect | BrE əˈfɛkt, AmE əˈfɛkt | 及物动词:影响；打动；侵袭，损害；假装；喜欢穿
有关那场灾难的图片令她唏嘘不已:the pictures of the disaster affected her badly
这种病常会损害人的视力:the disease often affects people's sight
假装做某事:to affect to do sth;





harm | BrE hɑːm, AmE hɑrm | 名词:损害/及物动词:伤害，损坏，危害
我对他并无恶意:I didn't mean him any harm
不妨做某事:it would do no harm to do sth
在安全的地方:out of harm's way
害多益少:to do more harm than good




exceed | BrE ɪkˈsiːd,ɛkˈsiːd, AmE ɪkˈsid | 及物动词:超过，超出；超越
当入不敷出时:when expenses exceed income
在某方面超过某物/某人:to exceed sth/sb in sth;
他的出价比别人高了50英镑:his bid exceeded the others by £50
完全出乎意料: to exceed all expectations




penalty | BrE ˈpɛn(ə)lti, AmE ˈpɛn(ə)lti | 名词：处罚；罚款；不利结果；处罚，点球
死刑:the death penalty
对某事予以惩处:to mete out or impose a penalty for sth
履行合同，否则受罚款处罚:to fulfil a contract on or under penalty of fines
我作了错误的决定，只好自食其果:I had to pay the penalty for my wrong decisions





substantial | BrE səbˈstanʃ(ə)l, AmE səbˈstæn(t)ʃəl | 形容词:可观的，显著的，重要的；结实的；丰盛的；基本上的；真实的
Law 巨额赔偿金:substantial damages
绝大多数:a substantial majority
大体同意（某事物）:to be in substantial agreement (over sth)




dent | BrE dɛnt, AmE dɛnt | 名词:凹槽；削减/及物动词:使...凹陷；削弱
在…上弄出凹坑:to make a dent in
削减某物的数量:to make a dent in sth
在家具/桌子/汽车上砸出坑:to dent the furniture/table/car
他的自尊受到了伤害:his pride/self-esteem has been dented




fortune | BrE ˈfɔːtʃuːn,ˈfɔːtʃ(ə)n, AmE ˈfɔrtʃən | 名词:运气；命运；大笔财产；
好运:a stroke of good fortune
好运眷顾勇者:fortune favours the brave
追求名利:to seek fame and fortune;
发财:to make a fortune;




domestic | BrE dəˈmɛstɪk, AmE dəˈmɛstɪk | 形容词:国内的；家务的，家用的，家里的；爱家的，家庭的；驯养的
她非常恋家:she's very domestic
家猫:a domestic cat




profit | BrE ˈprɒfɪt, AmE ˈprɑfət | 名词:利润；益处/不及物动词:收益
毛利/纯利润/净利润:gross/net/clear profit
盈亏:profit and loss
从某物中得益:to turn sth to profit
利润的增长:profit growth
我从你的忠告中受益:I have profited from your advice



scepticism | BrE ˈskɛptɪsɪz(ə)m, AmE ˈskɛptəˌsɪzəm | 名词:怀疑态度
对某事物的怀疑态度:scepticism about sth;
对某事物持怀疑态度:to treat or greet sth with scepticism





clout | BrE klaʊt, AmE klaʊt | informal 名词:重击；势力，影响力/及物动词:重击
后脑勺上挨的一巴掌:a clout across the back of the head
有巨大影响力:to have or carry or wield a great deal of clout
她狠狠地扇了他一个嘴巴:she clouted him across the mouth





repeatedly | BrE rɪˈpiːtɪdli, AmE rəˈpidədli | 副词:不停的，一再
司机们被多次警告要减速:drivers are repeatedly warned to reduce speed







Goliath | BrE ɡəˈlʌɪəθ, AmE ɡəˈlaɪəθ | 巨人，庞然大物
比赛看上去像是一场力量悬殊的较量。
The match looks like being a David and Goliath contest.





generally | BrE ˈdʒɛn(ə)rəli, AmE ˈdʒɛn(ə)rəli | 副词:一般的；普遍的；总体上；泛泛的
一般来说，等待是最好的办法:it's generally best to wait
这一术语被普遍接受的定义:a generally accepted definition of the term
我是泛指大家: I meant people generally
总体来看他目前身体状况欠佳:he's generally unwell at the moment
此书不是随处都能买到的:the book is not generally available



mitigate | BrE ˈmɪtɪɡeɪt, AmE ˈmɪdəˌɡeɪt | 副词:缓和，减轻
植树造林减轻了土壤侵蚀。
Soil erosion was mitigated by the planting of trees.




concern | BrE kənˈsəːn, AmE kənˈsərn | 名词:担心；令人关切的事物；私事/及物动词:与...有关；担忧；关于。/反身动词:对做某事物感兴趣:to concern oneself with
担心某人/某事物:to have concern for sb/sth;
引起担忧:to give rise to concern
环境问题/微不足道的事物:environmental/petty concerns
那不关某人的事:that's no concern of sb's or none of sb's concern
就某人而言:as far as sb is concerned;



























vast | BrE vɑːst, AmE væst | 形容词:大量的，巨大的，渊博的；宽敞的，辽阔的
一大笔:a vast amount of
绝大多数:the vast majority
宽敞的:a vast stretch of desert




majority | BrE məˈdʒɒrɪti, AmE məˈdʒɔrədi,məˈdʒɑrədi | 名词:大多数；多数票；法定成年年龄
大多数:the majority of the voters/population
名词前:a majority verdict   多数裁决
多数票:Labour had a large majority over the Conservatives in this constituency
在该选区工党得票数远远超过保守党
达到法定成年年龄:to reach one's majority



perspective | BrE pəˈspɛktɪv, AmE pərˈspɛktɪv | 名词:透视法(艺术)；观点；权衡轻重的能力
用透视法画某物:to draw sth in perspective
观点:to see things from a religious perspective.   从宗教的角度看待事物
明察事理:to have a sense of perspective
处理事情要分轻重缓急:you have to keep things in perspective;
正确处理某事:to get or put sth in or into perspective;


census | BrE ˈsɛnsəs, AmE ˈsɛnsəs | 名词:人口普查，统计调查
to take/conduct a census
进行人口调查




racially | BrE ˈreɪʃ(ə)li, AmE ˈreɪʃəli | 副词:在种族上
一个多种族社区:a racially diverse community
该对话冒犯种族:the dialogue is racially offensive
例句：the attack was racially motivated
翻译：袭击事件是由种族原因引起的



diverse | BrE dʌɪˈvəːs,ˈdʌɪvəːs, AmE dəˈvərs,daɪˈvərs | 形容词:多种多样的；不同的
一个多种族社区:a racially diverse community





minority | BrE mʌɪˈnɒrɪti,mɪˈnɒrɪti, AmE məˈnɔrədi | 名词:少数；少数名族；未成年/名词前:少数人的
少数人/企业/国家:a minority of people/businesses/countries;
宗教上的少数派: a religious minority
是唯一持不同意见者:to be in a minority of one



diversity | BrE dʌɪˈvəːsɪti,dɪˈvəːsɪti, AmE dəˈvərsədi,daɪˈvərsədi | 名词:多样性；差异性
教育的多元化:the diversity in education
众说纷纭:a great diversity of opinions




stroke | BrE strəʊk, AmE stroʊk | 名词:一击；击球；杆数；划水/浆动作；抚摸；举动；一次；主意；一笔；斜线/；报时的钟声；中风；冲程/及物动词:抚摸；踢；轻拂；奉承
他一剑劈断了绳子:he cut the rope with a stroke of his sword
正手/反手击球:a forehand/backhand stroke
大胆的举措: a bold stroke
背运/好运:a stroke of bad/good luck
他捋着胡须，想着接下来该做什么:he stroked his beard, wondering what to do next





character | BrE ˈkarəktə, AmE ˈkɛrəktər | 名词:性格；名誉；骨气；特性，个性；特征；有个性的人；怪人；人物；字
口碑好/不好的人:a person of good/bad character
刚毅:strength of character
扮演某角色:to play the character of sb
具有某种特征:to take on the character of sth



factor | BrE ˈfaktə, AmE ˈfæktər | 名词:因素；因子；代理商/把...作为考虑因素:factor in
是未知因素:to be an unknown factor;
是某事的因素:to be a factor in sth;
共同的因素:common factor
最大）公因子: (highest) common factor



roar | BrE rɔː, AmE rɔr | 名词:咆哮:叫喊；大笑声；鼓掌声；轰鸣声；呼啸声；呼呼声/不及物动词:吼叫；大喊；喧哗；放生大笑；轰鸣；呼啸而行
他怒吼了一声:he gave a roar of rage
观众报以雷鸣般的掌声:the audience gave a roar of applause(鼓掌)
瀑布的轰鸣声让他们什么也听不见:the roar of the waterfall deafened(使变聋) them
怒吼:to roar with fury




code | BrE kəʊd, AmE koʊd | 名词:密码；法规；规范；区号；编码/及物动词:将...编码
说晦涩难懂的行话:to speak in code
破译密码:to break or crack the code
道德规范:a code of ethics
汇编码/机器码:assembly/machine code



predicament | BrE prɪˈdɪkəm(ə)nt, AmE prəˈdɪkəmənt | 名词:尴尬的处境，困境
帮助某人摆脱困境:to help sb out of his/her predicament






compatible | BrE kəmˈpatɪb(ə)l, AmE kəmˈpædəb(ə)l | 形容词:和睦相处的；一致的；相符的；兼容的
与某人和睦相处:to be compatible with sb;
与某物兼容:to be compatible with sth;
例句:you must learn to work at a speed compatible with efficiency
翻译:你必须学会工作中兼顾速度与效率



heritage | BrE ˈhɛrɪtɪdʒ, AmE ˈhɛrədɪdʒ | 名词:遗产；文化遗产
可怕的战争后遗症:the dreadful heritage of war
革命的产物:the heritage of revolution





associate | BrE əˈsəʊʃɪeɪt,əˈsəʊsɪeɪt, AmE əˈsoʊsiˌeɪt,əˈsoʊʃiˌeɪt | 及物动词:把...联系起来；与...有关系；/不及物动词:交往/名词:伙伴；准会员/形容词:副的，非正式的，陪审的
这些是年老的症状:these symptoms are associated with old age
表示赞成某事:to associate oneself with sth;
与某人交往:to associate with sb;
同案犯:an associate in crime














chip | BrE tʃɪp, AmE tʃɪp |  原型：chip  名词/动词
例句：Musk‘s Neuralink puts computer *chips in animal brains.
短语： chip away/chip away at/chip in/chip off





entrepreneur | BrE ˌɒntrəprəˈnəː, AmE ˌɑntrəprəˈnər,ˌɑntrəprəˈnʊ(ə)r | 名词:企业家，倡导者
例句：Billionaire *entrepreneur Elon Musk's neuroscience startup Neuralink on Friday unveiled a pig...






start-up |。不可数：启动：start-up money/expenses/time。可数：新公司：an Internet start-up
例句：Billionaire *entrepreneur Elon Musk's neuroscience startup Neuralink on Friday unveiled a pig...







unveil | BrE ʌnˈveɪl, AmE ˌənˈveɪl | 原型：unveil  动词/形容词:为...揭幕；推出，公布：(announce for the first time) 
例句：Billionaire *entrepreneur Elon Musk's neuroscience startup Neuralink on Friday unveiled a pig...






implant | BrE ɪmˈplɑːnt, AmE ɪmˈplænt | 动词/名词。动词:灌输，将...埋藏于心。名词:移植物：to have an implant;
例句：to implant a sense of justice in students
例句：...aims to implant wireless brain-computer interfaces that...





electrode | BrE ɪˈlɛktrəʊd, AmE əˈlɛktroʊd | 原型：electrode
例句：...include thousands of electrodes in the most complex human organ to help cure neurological conditions...






organ | BrE ˈɔːɡ(ə)n, AmE ˈɔrɡən | 名词:管风琴，器官，机关，机关报刊
例句：...include thousands of electrodes in the most complex human organ to help cure neurological conditions...







neurological | BrE ˌnjʊərəˈlɒdʒɪk(ə)l, AmE ˌn(j)ʊrəˈlɑdʒəkəl |  原型：nerve 形容词:神经病学的，神经系统的
例句：...include thousands of electrodes in the most complex human organ to help cure neurological conditions...







condition | BrE kənˈdɪʃ(ə)n, AmE kənˈdɪʃ(ə)n | 原型：condition  名词/动词。名词:状况，处境。条件，条款。健康状况。疾病。复数状态下：条件。动词：训练，使适应。决定。护理。处理。
例句：...include thousands of electrodes in the most complex human organ to help cure neurological conditions...







appearing | BrE əˈpɪə, AmE əˈpɪr | 原型：appear 动词:出现。来到。显得。出版，发表。出庭。演出。到场。
例句：Musk did not provide a timeline for those treatments, appearing to retreat from earlier statements that...







retreat | BrE rɪˈtriːt, AmE rəˈtrit | 名词/动词:名词：撤退。隐居处。静修期。动词：撤退。隐居。后退。
例句：...appearing to retreat from earlier statements that human trials would begin by the end of this year.







statement | BrE ˈsteɪtm(ə)nt, AmE ˈsteɪtmənt | 名词:声明。口供。结算单。
例句：...appearing to retreat from earlier statements that human trials would begin by the end of this year.







trial | BrE ˈtrʌɪəl, AmE ˈtraɪ(ə)l | 名词/动词:名词：审判。试验，试用。困难，考验。竞赛。动词：适用
例句：..appearing to retreat from earlier statements that human trials would begin by the end of this year.






clinical | BrE ˈklɪnɪk(ə)l, AmE ˈklɪnək(ə)l | 形容词:临床的：（clinical medicine/training）。冷漠的，客观的（with clinical detachment）。简朴的<room,building>。准确有效的（with clinical accuracy）。
例句：Neuralink's first clinical trials with a small number of human patients would be aimed at...







unaffiliated | BrE ʌnəˈfɪlɪeɪtɪd, AmE ˌənəˈfɪliˌeɪdəd | 形容词:非附属的<club, group>;独立的‹college, union›
短语：to be unaffiliated to sth：独立于某物
例句：Neuroscientists unaffiliated with the company said the presentation indicated that...






presentation | BrE prɛz(ə)nˈteɪʃ(ə)n, AmE ˌprɛzənˈteɪʃ(ə)n,ˌpriˌzɛnˈteɪʃ(ə)n |  名词 :赠送，授予。陈述。外观。表演。引见。
例句：to make (sb) a presentation (of sth). 赠送（某人）（某物）。
例句：the presentation indicated that Neuralink had made great strides but cautioned that longer studies were needed.





indicate | BrE ˈɪndɪkeɪt, AmE ˈɪndəˌkeɪt | 动词:指示。暗示。标示。表明。打...转向信号。
短语：to indicate to sb that … 向某人指示…
例句：...the presentation indicated that Neuralink had made great strides but cautioned that longer studies were needed.





caution | BrE ˈkɔːʃ(ə)n, AmE ˈkɔʃ(ə)n | 名词/动词。名词：小心。警告。法律权益告知。可笑的人。动词：警告。警诫。
例句：...the presentation indicated that Neuralink had made great strides but cautioned that longer studies were needed.





longevity | BrE lɒnˈdʒɛvɪti, AmE lɔnˈdʒɛvədi,lɑnˈdʒɛvədi | 名词:长寿，持久。
例句：Some researchers said longer studies would be required to determine the longevity of the device.





stimulate | BrE ˈstɪmjʊleɪt, AmE ˈstɪmjəˌleɪt | 动词:刺激，激励，激发。促进...的功能。
短语：to stimulate sb to do sth;
例句：Small devices that electronically stimulate nerves and brain areas to...






nerve | BrE nəːv, AmE nərv | 原型：nerve 名词/动词/复数形式名词。名词：神经。勇气。厚脸皮。复数形式名词：神经质。动词：激励。
例句：Small devices that electronically stimulate nerves and brain areas to...






conduct | BrE ˈkɒndʌkt, AmE ˈkɑnˌdəkt | 原型 conduct 名词/动词。名词：行为。处理，实施，经营。动词：为...做向导。处理，安排，经营，进行。指挥。传导。
例句：Brain implant trials have also been conducted with a small number of people...









addict | BrE ˈadɪkt, AmE ˈædɪkt | 名词:有瘾的人，入迷的人
有瘾的人:a coffee addict. 喝咖啡上瘾的人。
入迷的人:a telly addict.informal 电视迷。




conventional | BrE kənˈvɛnʃ(ə)n(ə)l, AmE kənˈvɛn(t)ʃ(ə)n(ə)l | 形容词:符合习俗的，墨守成规的；传统的；常规的
符合习俗的，墨守成规的:to be conventional in sth. 在某方面守旧。
常规的:conventional warfare/weapons. 常规战争/武器。




property | BrE ˈprɒpəti, AmE ˈprɑpərdi | 名词:财产；房屋院落，房地产；住宅；所有物，所有权；特性
财产:personal/public property. 私人/公共财产。
财产:to be public or common property that … 众所周知…
住宅:the farmer ordered the campers off his property. 那位农场主命令野营者离开他的地盘。
特性:a herb with medicinal properties. 药用植物。



to a certain extent | BrE ɪkˈstɛnt,ɛkˈstɛnt, AmE ɪkˈstɛnt | extent，名词:大小，严重性，程度
大小:over the whole extent of sth; 覆盖在某物上。
程度:to a large/a certain/some extent; 在很大/一定/某种程度上。





praise | BrE preɪz, AmE preɪz | 名词/及物动词:称赞；赞颂；称赞(v)；赞颂(v)
称赞:beyond praise. 赞美不尽的。
赞颂:a hymn/song of praise. 赞美诗/颂歌。
称赞(v):to praise sb/sth to the skies. 把某人/某事物捧上天。





stimulate | BrE ˈstɪmjʊleɪt, AmE ˈstɪmjəˌleɪt | 及物动词:刺激，激励，激发；促进...的功能(生理上)
激励:to stimulate sb to do sth; 激励某人做某事。






implicate | BrE ˈɪmplɪkeɪt, AmE ˈɪmpləˌkeɪt | 及物动词:牵连；与某坏事有牵连
牵连:to implicate sb in a crime/in espionage. 使某人卷入犯罪/谍报活动。
有牵连:viruses are implicated in certain cancers. 病毒与某些癌症有关。





desire | BrE dɪˈzʌɪə, AmE dəˈzaɪ(ə)r | 名词/及物动词:渴望；情欲；渴望(v)
渴望:her heart's desire.(literary书面) 她最心仪的东西。
渴望(v):to desire to do sth.(formal正式) 想做某事。





inherent | BrE ɪnˈhɪər(ə)nt,ɪnˈhɛr(ə)nt, AmE ɪnˈhɪrənt,ɪnˈhɛrənt | 形容词:内在的；固有的
内在的:with its inherent risks. 由于其本身的危险。
固有的:to be inherent in sth. 是某事物固有的。





brutal | BrE ˈbruːt(ə)l, AmE ˈbrudl | 形容词:残酷的，野蛮的，残忍的；不留情面的；粗暴的






sacrifice | BrE ˈsakrɪfʌɪs, AmE ˈsækrəˌfaɪs | 名词/及物动词:献祭；祭品。牺牲，以...作为祭品。
献祭:getting rich isn't worth the sacrifice of your principles. 为致富牺牲原则是不值得的。
牺牲自己:to sacrifice oneself





famously | BrE ˈfeɪməsli, AmE ˈfeɪməsli | 副词:极好的；出名的。
极好的:to get on or along famously. 相处极好。
出名的:he once famously stated that … 他有句名言说…





treadmill | BrE ˈtrɛdmɪl, AmE ˈtrɛdˌmɪl/, , treadwheel | ˈtredwiːl | 名词:踏车；单调乏味的工作；跑步机
枯燥的工作:to be on a treadmill. 做枯燥的工作。




wear off | BrE wɛː, AmE wɛr | 及物短语/不及物短语:逐渐消失；磨掉；抹去(油漆等材料)
逐渐消失:the effect of the anaesthetic was beginning to wear off. 麻醉剂的药效开始逐渐减退。




reward | BrE rɪˈwɔːd, AmE rəˈwɔrd | 名词/及物动词:报偿；酬金；回报；酬谢；值得
报偿:as a reward for sth/for doing sth. 作为某事/做某事的奖励。
回报:one reward of my job is foreign travel. 我工作的一个回报是可以去国外旅行。
回报(动词):if you persist, your efforts will be rewarded. 如果你坚持不懈，你的努力是不会白费的。
值得:it's a subject that rewards further investigation .这是一个值得进一步研究的课题。



hook | BrE hʊk, AmE hʊk | 名词/及物动词/不及物动词:挂钩，鱼钩；用钩挂，钩住；使变成钩；钓；用钩固定；
鱼钩:to fall for sth hook, line, and sinker(非正式). 完全被某事物欺骗。
鱼钩:to get/let sb off the hook(抽象). 使/让某人摆脱责任。
用钩挂:to hook sth to the back of the car. 把某物挂在汽车尾部。
用钩固定:to hook at the back.«garment» 在背部用钩眼扣扣住。



substance | BrE ˈsʌbst(ə)ns, AmE ˈsəbstəns | 名词:东西；药物；事实基础；实质；重要性；物质
东西:this substance should not come into contact with food. 这种东西不可以和食物接触。
事实基础:to lend substance to sth. 使某事有根有据。
本质上:in substance
重要性:talks/matters of substance. 重要的会谈/事务。



agonize | BrE ˈaɡənʌɪz, AmE ˈæɡəˌnaɪz | 不及物动词:焦虑不已
焦虑不已:to agonize over or about sth. 为某事物犯愁。





physically | BrE ˈfɪzɪkli, AmE ˈfɪzɪk(ə)li | 副词:身体上
身体上:I felt physically sick. 我感到身体不适。
例句:he doesn't attract me physically. 我不觉得他长得帅。
例句:it's physically impossible to get to the airport before 8 am. 上午8点之前赶到机场非人力所及。






depression | BrE dɪˈprɛʃ(ə)n, AmE dəˈprɛʃ(ə)n | 名词:抑郁症；沮丧；萧条；坑
抑郁症:to suffer from depression. 患抑郁症。
萧条:the (Great) Depression. [二战前的] 大萧条。





anxiety | BrE aŋˈzʌɪəti, AmE æŋˈzaɪədi | 名词:焦虑；令人焦虑的事；渴望
焦虑:to feel great anxiety about sth. 对某事物感到焦虑不已。
令人焦虑的事:the child's illness is a great anxiety to her. 孩子的病让她焦虑万分。
渴望:a great anxiety to please. 急于讨好的心情。




elite | BrE eɪˈliːt,ɪˈliːt, AmE əˈlit,eɪˈlit | 名词/形容词:社会精英；高层次的；精锐的，上等的；
社会精英:the ruling elite. 统治精英。






tyrannical | BrE tɪˈranɪk(ə)l,tʌɪˈranɪk(ə)l, AmE təˈrænək(ə)l | 形容词:专制的；残暴的






substitute | BrE ˈsʌbstɪtjuːt, AmE ˈsəbstəˌt(j)ut | 名词/及物动词/不及物动词:代替者；替补队员；替身；用...代替；替换；代替
代替者:a milk substitute. 代乳品。
及物:butter can be substituted with margarine in this recipe. 做这道菜可以用人造黄油代替黄油。
不及物:nothing can substitute for the advice your doctor is able to give you. 医生给你的忠告是无可替代的。







nail | BrE neɪl, AmE neɪl | 多义名词/动词:钉子，指甲；钉住，揭穿；
例句:Microsoft drivers another nail in the coffin of its most hated product.
短语:to hit the nail on the head——一针见血
钉住:to nail sth on sth.





coffin | BrE ˈkɒfɪn, AmE ˈkɔfən,ˈkɑfən | 名词:棺材，灵柩





miraculously | BrE mɪˈrakjʊləsli, AmE məˈrækjələsli | 副词:奇迹般的





around | BrE əˈraʊnd, AmE əˈraʊnd | 副词/介词:大约，在附近，面世，环绕着，朝相反方向，至某地；围绕，在...各处，在...附近，在...前后；
在附近:there's nobody around. 附近没有人。
面世:I wish I'd been around 50 years ago.我希望自己50年前就在这世上了。
环绕着:the villages around Dublin. 都柏林周围的村庄。
短语:around the world. 世界各地。






steady | BrE ˈstɛdi, AmE ˈstɛdi | 形容词/感叹词/动词:稳定的均匀的，稳的，镇定的，稳步的，关系稳定的，坚定的；小心；使平稳，变稳。
例句:a steady job. 固定工作
例句:my nerves aren't very steady today. 我今天有点儿心神不定。
持续的:a steady decline in numbers. 数量的持续下降。
变稳:his voice steadied as his confidence returned. 他恢复了信心，声音变得镇定自若。



downward | BrE ˈdaʊnwəd, AmE ˈdaʊnwərd | 形容词/副词:向下的，下降的，恶化的；向下地，向低层次，以下，往后推移的。
例句:to give a downward glance. 向下瞟一眼。
例句:a downward trend. 下降趋势。
例句:the long-term trend is downward. 从长远来看呈下降趋势。




trajectory | BrE trəˈdʒɛkt(ə)ri,ˈtradʒɪkt(ə)ri, AmE trəˈdʒɛkt(ə)ri | 名词:轨迹，轨线
例句:a low/flat trajectory. 低/平轨迹。





threshold | BrE ˈθrɛʃəʊld,ˈθrɛʃˌhəʊld, AmE ˈθrɛʃˌ(h)oʊld | 名词:门槛，下限，开端
例句:to have a low pain threshold. 忍痛力弱。





debut | BrE ˈdeɪbjuː,ˈdɛbjuː, AmE deɪˈbju | 名词:首次亮相
首次亮相:a debut performance. 首次登台演出。





instant | BrE ˈɪnst(ə)nt, AmE ˈɪnstənt | 形容词/名词:立即的，紧急的；片刻
立即的:instant success/relief/hot water. 一举成功/即刻减轻/即开即热水。
短语:at that (very) instant. （就）在那时。




hit | BrE hɪt, AmE hɪt | 动词/名词:击，击中，攻击，到达；流行歌曲。
击:to hit the ball out of the court. 把球打出场外。
例句: to give the ball a tremendous hit. 大力击球。
短语:hit back. 回击。




virtual | BrE ˈvəːtʃʊ(ə)l,ˈvəːtjʊəl, AmE ˈvərtʃ(u)əl | 形容词:实质上的，虚拟的，虚的。
几乎:traffic is at a virtual standstill. 交通几乎陷入停滞。





monopoly | BrE məˈnɒp(ə)li, AmE məˈnɑpəli | 名词:垄断，独占
垄断:to have a monopoly on （or of） sth; 垄断某事物。
例句:a good education should not be the monopoly of the rich.良好的教育不应该成为富人的专利。





innovate | BrE ˈɪnəveɪt, AmE ˈɪnəˌveɪt | 动词:革新






essentially | BrE ɪˈsɛnʃ(ə)li, AmE əˈsɛn(t)ʃəli | 副词:本质上（basically），非常（really，very），大体上（more or less）





cobweb | BrE ˈkɒbwɛb, AmE ˈkɑbˌwɛb | 名词:蜘蛛网






frustrated | BrE frʌˈstreɪt,ˈfrʌstreɪt, AmE ˈfrəstreɪt | 及物动词:阻挠，挫败，使...心烦
挫败:the storm frustrated us in our attempt to land.暴风雨使我们的降落意图落了空。
阻挠:to frustrate sb's plans/hopes. 使某人的计划/希望落空。




flee | BrE fliː, AmE fli | past tense, past participle fled 动词:逃离，逃跑
短语:to flee in the face of danger. 遇到危险逃跑。






greener pastures | BrE ˈpɑːstʃə, AmE ˈpæstʃər | 名词:牧场，牧草
例句:to put the cattle out to pasture. 放牛群到牧场。





synonymous | BrE sɪˈnɒnɪməs, AmE səˈnɑnəməs | 形容词:同义的
例句:wealth is not necessarily synonymous with generosity. 富未必等同于慷慨





pave | BrE peɪv, AmE peɪv | 动词:铺
短语:to pave the way for sb/sth. 为某人/某事铺平道路。





surpass | BrE səˈpɑːs, AmE sərˈpæs |   及物动词:胜过，超出
例句:a performance that far surpasses all others. 远远优于其他人的表演。





sync | BrE sɪŋk, AmE sɪŋk |   名词:= synchronization





mainstay | BrE ˈmeɪnsteɪ, AmE ˈmeɪnˌsteɪ |   名词
例句:the country's economic main. 该国的经济支柱





sophisticate | BrE səˈfɪstɪkət, AmE səˈfɪstəˌkeɪt,səˈfɪstəkət |   名词/动词:老于世故的人；使...更精确，使...老于世故





landscape | BrE ˈlan(d)skeɪp, AmE ˈlæn(d)ˌskeɪp |   名词:陆上风景，风景画，园林的
风景:to admire the landscape. 欣赏风景。
例句:landscape painting/art/photography. 风景画/风景画艺术/风景摄影。




investment | BrE ɪnˈvɛs(t)m(ə)nt, AmE ɪnˈvɛs(t)mənt |   名词:投资，投资额，投资物，投入
投资:he called for more government investment in industry. 他呼吁政府对工业增加投资。
投入:a huge emotional investment. 大量的情感投入。






publication | BrE ˌpʌblɪˈkeɪʃ(ə)n, AmE ˌpəbləˈkeɪʃ(ə)n | 名词:出版；出版物；公布
出版:the date of publication. 出版日期。







treatise | BrE ˈtriːtɪs,ˈtriːtɪz, AmE ˈtridɪs | 名词:论文
论文: a treatise on sth; 关于某研究课题的论文。
论文: a scholarly or an academic treatise. 学术论文。






scrutiny | BrE ˈskruːtɪni, AmE ˈskrutni | 名词:仔细观察；仔细检查
例句:to be under scrutiny;(observation)受到密切注意/(investigation)受到检查






emphasis | BrE ˈɛmfəsɪs, AmE ˈɛmfəsəs | 名词:重要性；重音；加重语气
重要性:to lay or place or put the emphasis on sth. 重视某事物。
重要性:to shift the emphasis from sth to sth. 将重点从某事物转移到某事物上。
加重语气:to speak with emphasis. 加重语气说话。




violent | BrE ˈvʌɪəl(ə)nt, AmE ˈvaɪ(ə)lənt | 形容词:残暴的；猛烈的；突然的；刺眼的
暴力的:violent film/clash/attack/protest/behaviour. 暴力电影/冲突/袭击/抗议/行为。






urge | BrE ˈəːdʒ, AmE ərdʒ | 名词:强烈欲望/及物动词:力劝；竭力主张；驱赶
短语:urge on:鼓励:to urge on the troops.
强烈欲望:I had a sudden urge to hit him. 我突然很想揍他。
竭力主张:he urged patience on the crowd. 他呼吁那群人保持耐心。
驱赶:he urged the sheep through the gate. 他赶着羊群穿过大门。




repression | BrE rɪˈprɛʃən, AmE rəˈprɛʃ(ə)n | 名词:压制;压抑
压制:the minister advocated the repression of dissent. 这位部长主张压制持不同政见者。






premise | BrE ˈprɛmɪs, AmE ˈprɛməs | 名词:假定；前提
假定:on the premise that … 根据…的假设。







reflect | BrE rɪˈflɛkt, AmE rəˈflɛkt | 及物动词:映出；反射；显示；认真思考。不及物动词:深思
反射:to bask in reflected glory. [figurative(比喻)] 沾别人的光。
显示:his music reflects his feelings. 他的音乐表达了他的感情。
认真思考:to reflect that …; 琢磨着…
深思:to reflect on or upon sth; 思考某事。
短语:reflect on, reflect upon :导致，给...带来影响。




consolidation | BrE kənˌsɒlɪˈdeɪʃ(ə)n, AmE kənˌsɑləˈdeɪʃ(ə)n | 名词:巩固；合并
